,SMILES,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,Extinction coefficient in M-1 cm-1.1
0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,3.936481481,0.260512094,3.936481481,0.260512094,0.672275364,188.194,180.13,188.0810443,70,0,0.307291743,-0.165315131,0.307291743,0.165315131,1.142857143,1.928571429,2.571428571,15.58933529,10.32259378,1.949794683,-1.862641128,2.122991743,-1.905437375,5.348088165,0.629754251,2.150590802,432.101971,9.803118619,7.570032919,7.570032919,6.843336593,4.052324389,4.052324389,2.614434597,2.614434597,1.50887725,1.50887725,0.911281236,0.911281236,-2.11,2787.595526,8.486561825,3.733886942,1.975742069,80.28365384,0,0,0,0,0,5.948339281,0,0,4.796506222,15.32718206,23.29778301,17.34611923,0,12.73505826,0,11.63572556,0,20.20725493,17.27617223,0,0,30.33183534,0,0,0,11.63572556,0,0,20.20725493,7.047671983,0,0,40.56033559,0,0,0,68.32,0,0,0,5.948339281,0,5.687386275,4.796506222,7.047671983,30.33183534,25.63924896,0,0,0,1.332685185,18.91599836,0.763845427,0.260512094,9.385156211,0,0,1.675136054,0.125,14,0,6,0,0,0,1,1,2,6,0,6,2,0,0,0,2,1.6255,49.416,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.101
1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.976481481,0.371623205,3.976481481,0.371623205,0.676689684,187.206,178.134,187.0857953,70,0,0.286868523,-0.253745428,0.286868523,0.253745428,1.142857143,1.928571429,2.571428571,15.37417952,10.32258885,1.933479607,-1.868245489,2.126931406,-1.841190965,5.348698375,0.7643683,2.150590802,431.4727805,9.803118619,7.700169593,7.700169593,6.843336593,4.168722169,4.168722169,2.753787601,2.753787601,1.598599032,1.598599032,0.970854015,0.970854015,-2.04,2787.595526,8.553468983,3.779875845,2.00703194,81.12709872,0,6.327320075,0,0,5.948339281,0,4.681802935,0,4.983978521,15.32718206,18.19910121,12.13273414,7.047671983,5.687386275,0,11.63572556,0,14.76446326,17.27617223,0,0,36.65915542,0,0,0,11.63572556,0,0,14.76446326,7.047671983,0,0,46.88765567,0,0,0,55.43,0,0,0,0,5.948339281,5.687386275,0,18.05679499,30.33183534,20.31116058,0,1.582685185,0,3.92227466,11.82662651,0.791623205,0.371623205,9.469568216,1.582685185,0,1.786247166,0.111111111,14,0,5,0,0,0,1,1,2,5,0,5,2,0,0,0,2,2.2305,51.621,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127
2,C[N]1C=CC(=N1)N=NC2=CC=CC=C2,4.081996882,0.621623205,4.081996882,0.621623205,0.664733563,186.218,176.138,186.0905463,70,0,0.195202925,-0.27357524,0.27357524,0.195202925,1.071428571,1.857142857,2.5,15.30511282,10.32230192,1.916664185,-1.87740123,2.143460635,-1.84049692,5.356375444,0.766179844,2.150590802,430.3924651,9.803118619,7.830306266,7.830306266,6.843336593,4.308924949,4.308924949,2.883154857,2.883154857,1.723656117,1.723656117,1.059769199,1.059769199,-1.97,2787.595526,8.620407991,3.826027459,2.038517927,81.90745074,0,0,5.817862778,0,0,0,4.681802935,0,5.098681808,10.22850025,18.19910121,12.13273414,19.31088262,5.687386275,0,11.50524905,0,9.780484743,17.27617223,0,0,42.59504598,0,0,0,11.50524905,0,0,9.780484743,7.047671983,0,0,52.82354623,0,0,0,42.54,0,0,0,0,5.817862778,5.687386275,0,4.681802935,49.64271797,15.32718206,0,1.693796296,0,0,12.11134873,0.831623205,0.621623205,11.39350954,1.832685185,0,1.848747166,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355,53.826,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108
3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,4.181533919,0.667919501,4.181533919,0.667919501,0.686453659,200.245,188.149,200.1061964,76,0,0.19809577,-0.273296965,0.273296965,0.19809577,1.133333333,1.866666667,2.466666667,15.3094466,10.32059633,1.99785116,-1.890379486,2.183553578,-1.841335409,5.382996862,0.765827032,2.221593098,470.5880732,10.67336211,8.752955997,8.752955997,7.254020195,4.725591616,4.725591616,3.344937047,3.344937047,2.002031282,2.002031282,1.293754515,1.293754515,-1.97,3859.531531,9.57988572,4.04146736,2.281810727,88.27239286,0,0,5.817862778,0,0,0,4.681802935,0,5.098681808,10.22850025,18.19910121,19.05647134,18.80796705,5.687386275,0,11.50524905,0,9.780484743,17.27617223,6.9237372,0,42.09213041,0,0,0,11.50524905,0,0,9.780484743,7.047671983,6.9237372,5.563451492,46.75717917,0,0,0,42.54,0,0,0,0,5.817862778,11.25083777,0,4.681802935,50.5000881,15.32718206,0,1.730833333,0,0,12.37125614,1.860864985,0.667919501,9.618897392,1.916018519,1.96462963,1.869580499,0.181818182,15,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.14392,58.563,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136
4,C[N]1C=C(C=N1)N=NC2=CC=CC=C2,4.061481481,0.760512094,4.061481481,0.760512094,0.664733563,186.218,176.138,186.0905463,70,0,0.123543376,-0.273505172,0.273505172,0.123543376,1.071428571,1.785714286,2.428571429,15.26131569,10.32199516,1.913114417,-1.87560754,2.154925085,-1.830634296,5.367234228,0.767514453,2.150590802,430.3924651,9.803118619,7.830306266,7.830306266,6.843336593,4.298858842,4.298858842,2.907752603,2.907752603,1.728381179,1.728381179,1.0700827,1.0700827,-1.97,2787.595526,8.620407991,3.826027459,2.038517927,81.90745074,0,5.687386275,0,0,0,0,4.681802935,0,10.21293193,5.114250126,18.19910121,12.13273414,7.047671983,18.08107342,0,11.37477255,0,9.780484743,17.27617223,0,0,42.72552249,0,0,0,11.37477255,0,0,9.780484743,7.047671983,0,0,52.95402274,0,0,0,42.54,0,0,0,0,0,11.37477255,0,10.87864651,43.5763509,15.32718206,0,1.693796296,0,0,12.09228238,1.604357521,0,9.609149975,3.485,0,1.848747166,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355,53.826,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666
5,C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,4.285800894,0.851993575,4.285800894,0.851993575,0.70578118,214.272,200.16,214.1218464,82,0,0.129373135,-0.270358401,0.270358401,0.129373135,1.0625,1.75,2.3125,15.28801881,10.30562774,2.07110583,-1.933552207,2.240427587,-1.913269717,5.462516499,0.73101186,2.308082877,511.3150723,11.5436056,9.675605728,9.675605728,7.68154055,5.152324389,5.152324389,3.678583148,3.678583148,2.492484047,2.492484047,1.509543615,1.509543615,-1.97,5709.191061,10.54456192,4.263802943,2.00320115,94.63733497,0,5.687386275,0,0,0,0,4.681802935,0,10.21293193,5.114250126,18.19910121,25.98020854,7.047671983,17.07524226,0,11.37477255,0,9.780484743,17.27617223,13.8474744,0,41.71969133,0,0,0,11.37477255,0,0,9.780484743,7.047671983,13.8474744,11.38785599,40.56033559,0,0,0,42.54,0,0,0,0,0,22.76262854,0,0,55.90878466,15.32718206,0,1.814166667,0,0,12.7070046,3.632748488,0,9.683814563,0,3.922314815,1.906617536,0.25,16,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.45234,63.3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
6,C[N]1N=CC=C1N=NC2=CC=CC=C2,4.073703704,0.74430839,4.073703704,0.74430839,0.664733563,186.218,176.138,186.0905463,70,0,0.172237684,-0.249484079,0.249484079,0.172237684,1.071428571,1.857142857,2.5,15.32234643,10.32225682,1.932874181,-1.919868742,2.153740655,-1.862655337,5.358251283,0.763965075,2.195491813,430.3924651,9.803118619,7.830306266,7.830306266,6.860173345,4.308924949,4.308924949,2.848562765,2.848562765,1.819154417,1.819154417,1.068700839,1.068700839,-1.97,2858.521297,8.620407991,3.826027459,1.849259627,81.90745074,0,0,5.817862778,0,0,0,0,4.681802935,5.098681808,10.22850025,18.19910121,12.13273414,13.11403905,11.88422985,0,11.50524905,0,9.780484743,17.27617223,0,0,42.59504598,0,0,0,11.50524905,0,0,9.780484743,7.047671983,0,0,52.82354623,0,0,0,42.54,0,0,0,0,0,11.50524905,0,10.87864651,43.44587439,15.32718206,0,1.673055556,0,0,12.1270046,0.841388889,0.74430839,11.42109442,1.693796296,0,1.832685185,0.1,14,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,2.8355,53.826,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0873
7,C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,4.161018519,0.790604686,4.161018519,0.790604686,0.686453659,200.245,188.149,200.1061964,76,0,0.175189926,-0.249250458,0.249250458,0.175189926,1.133333333,1.866666667,2.466666667,15.32650936,10.32035648,2.010059878,-1.942756503,2.195887016,-1.86999929,5.388679,0.763491999,2.261167761,451.0880732,10.67336211,8.752955997,8.752955997,7.270856948,4.725591616,4.725591616,3.310344955,3.310344955,2.10020529,2.10020529,1.284193496,1.284193496,-1.97,4030.538429,9.57988572,4.04146736,2.095848817,88.27239286,0,0,5.817862778,0,0,0,0,4.681802935,5.098681808,10.22850025,18.19910121,19.05647134,12.61112347,11.88422985,0,11.50524905,0,9.780484743,17.27617223,6.9237372,0,42.09213041,0,0,0,11.50524905,0,0,9.780484743,7.047671983,6.9237372,5.563451492,46.75717917,0,0,0,42.54,0,0,0,0,0,17.06870054,0,10.87864651,44.30324452,15.32718206,0,1.710092593,0,0,12.38691201,1.870630669,0.790604686,9.646482269,1.77712963,1.96462963,1.853518519,0.181818182,15,0,4,0,0,0,1,1,2,4,0,4,2,0,0,0,2,3.14392,58.563,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221
8,CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,4.261851852,0.878153817,4.261851852,0.878153817,0.673328458,213.284,198.164,213.1265975,82,0,0.106511787,-0.350119713,0.350119713,0.106511787,1,1.6875,2.25,15.12441541,10.31947605,2.03673831,-1.974535972,2.239079685,-1.91144762,5.456712377,0.843190218,2.276605398,509.4740185,11.5436056,9.805742402,9.805742402,7.68154055,5.279674658,5.279674658,3.850935705,3.850935705,2.777869824,2.777869824,1.542974879,1.542974879,-1.9,5878.100732,10.61225823,4.308014196,2.029984613,95.44923342,4.567099648,5.687386275,0,0,0,0,0,0,5.114250126,5.114250126,18.19910121,32.0465756,18.43552797,5.687386275,0,11.37477255,0,4.567099648,17.27617223,13.8474744,0,47.7860584,0,0,0,11.37477255,0,0,4.567099648,7.047671983,13.8474744,11.38785599,46.62670266,0,0,0,29.65,0,0,0,0,0,17.06870054,5.693927995,0,50.36961159,21.7193371,0,2.110462963,0,0,8.465277778,4.142548133,0,11.80245754,0,4.111987906,2.033932351,0.230769231,16,0,3,0,0,0,1,1,2,3,0,3,2,0,0,0,2,4.05734,65.505,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142
9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,4.361388889,0.882227891,4.361388889,0.882227891,0.681982401,227.311,210.175,227.1422475,88,0,0.109422224,-0.349843679,0.349843679,0.109422224,0.882352941,1.529411765,2.058823529,15.12833665,10.22113399,2.10561518,-1.974776279,2.294336466,-1.920323638,5.533933307,0.839830823,2.373908302,525.0914536,12.41384908,10.72839213,10.72839213,8.109060905,5.702324389,5.702324389,4.238993344,4.238993344,3.268509539,3.268509539,1.85442942,1.85442942,-1.9,8755.648162,11.58146291,4.534587058,2.13436689,101.8141755,4.567099648,5.687386275,0,0,0,0,0,0,5.114250126,5.114250126,18.19910121,38.46739723,18.43552797,5.687386275,0,11.37477255,0,4.567099648,17.27617223,20.7712116,0,47.28314282,0,0,0,11.37477255,0,0,4.567099648,7.047671983,20.7712116,16.95130748,40.56033559,0,0,0,29.65,0,0,0,0,0,17.06870054,11.25737949,0,30.33183534,42.61448348,0,2.1475,0,0,8.625648148,5.454197321,0,9.796363904,0,6.254858277,2.054765684,0.285714286,17,0,3,0,0,0,1,1,2,3,0,3,2,0,0,0,2,4.36576,70.242,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.332
