SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm
C[N]1N=NC(=N1)N=NC2=CC=CC=C2,2.1e-07,MeCN,76.0,72.0,310.0,1.67,442.0,0.0373,290.0,0.243,428.0,0.101,1.896,355,532,MeCN,305.0,480.0,286.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.8e-07,MeCN,90.0,84.0,310.0,1.87,438.0,0.0505,272.0,0.489,434.0,0.127,1.899,355,532,MeCN,306.0,473.0,284.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N]1C=CC(=N1)N=NC2=CC=CC=C2,1.1e-07,MeCN,98.0,97.0,320.0,1.46,425.0,0.0778,272.0,0.908,422.0,0.108,1.877,355,532,MeCN,311.0,454.0,285.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,1.5e-06,MeCN,96.0,87.0,325.0,1.74,428.0,0.0612,286.0,0.515,438.0,0.136,1.874,355,532,MeCN,317.0,458.0,302.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N]1C=C(C=N1)N=NC2=CC=CC=C2,7.6e-09,MeCN,98.0,70.0,328.0,1.66,417.0,0.064,275.0,0.8059999999999999,403.0,0.0666,1.849,355,532,MeCN,318.0,447.0,278.0,409.0,328.0,455.0,295.0,410.0,305.0,427.0,256.0,401.0
C[N]1N=C(C)C(=C1C)N=NC2=CC=CC=C2,7.7e-07,MeCN,98.0,98.0,335.0,2.27,425.0,0.0963,296.0,0.5770000000000001,441.0,0.23,1.837,355,532,MeCN,327.0,443.0,297.0,460.0,337.0,453.0,311.0,462.0,314.0,422.0,279.0,449.0
C[N]1N=CC=C1N=NC2=CC=CC=C2,7.4e-07,MeCN,98.0,79.0,341.0,1.62,425.0,0.0676,289.0,0.6940000000000001,430.0,0.0873,1.841,355,532,MeCN,333.0,457.0,299.0,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C[N]1N=CC(=C1N=NC2=CC=CC=C2)C,1.6e-05,MeCN,94.0,86.0,340.0,1.82,435.0,0.0854,296.0,0.5529999999999999,451.0,0.221,1.825,355,532,MeCN,338.0,452.0,320.0,473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(N(C)C(C)=C1)=C1/N=N/C2=CC=CC=C2,2.2e-06,MeCN,77.0,85.0,363.0,1.93,410.0,0.0,311.0,0.875,405.0,0.142,1.828,355,532,MeCN,359.0,437.0,285.0,401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,0.0007599999999999999,MeCN,85.0,98.0,345.0,1.66,410.0,0.0,300.0,0.52,462.0,0.332,1.822,355,532,MeCN,344.0,441.0,340.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1C(/N=N/C2=CC=CC=C2)=C(C)C=C1C,0.033,MeCN,85.0,98.0,394.0,2.82,430.0,0.0,346.0,0.7040000000000001,479.0,0.608,1.754,415,532,MeCN,360.0,437.0,340.0,485.0,367.0,449.0,338.0,486.0,351.0,423.0,312.0,473.0
CN1C(/N=N/C2=CC=CC=C2)=CC=C1,6.500000000000001e-05,MeCN,84.0,82.0,385.0,2.21,412.0,0.0,333.0,1.62,423.0,0.157,1.791,415,532,MeCN,351.0,440.0,325.0,422.0,359.0,449.0,338.0,425.0,340.0,421.0,306.0,410.0
CN1C(/N=N/C2=CC=CC=C2)=NC=C1,2.2e-05,MeCN,98.0,0.0,363.0,1.7,417.0,0.126,0.0,0.0,0.0,0.0,1.835,363,532,MeCN,342.0,455.0,337.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN(C=N1)C=C1/N=N/C2=CC=CC=C2,3.3e-06,MeCN,95.0,0.0,336.0,1.48,450.0,0.0,0.0,0.0,0.0,0.0,1.853,365,532,MeCN,329.0,460.0,282.0,432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CN1C(/N=N/C2=CC=CC=C2)=CN=C1,1.2e-06,MeCN,98.0,45.0,362.0,2.58,0.0,0.0,0.0,0.0,0.0,0.0,1.81,365,455,MeCN,343.0,438.0,301.0,426.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NC(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,391.0,0.0,0.0,0.0,0.0,0.0,452.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COC(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,344.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,332.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1(/N=N/C2=CC=NN2)=CC=NN1,0.0,0,0.0,0.0,320.0,0.0,0.0,0.0,0.0,0.0,430.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
[H]C(C=C1)=CC=C1N=NC2=NNC=C2,0.0,0,0.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,423.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
